Class Name,Class Wise IoU,Class Wise Dice Score,Class Wise Accuracy,Class Wise Precision,Class Wise Recall
lake,0.9984107079391904,0.9992047220386227,0.9986919862356706,0.9997179844623095,0.9986919861686807
settlement,0.8317522700692829,0.9081492994088154,0.872113676731794,0.9472912479184356,0.872113676112175
shrub land,0.39901746834239915,0.5704252847308815,0.4747780904957783,0.7143322452301881,0.4747780894678976
grass land,0.5148471626313381,0.6797347957916766,0.7736220472440944,0.6061696642514919,0.7736220447059644
homogenous forest,0.7364657274412195,0.8482352585802033,0.9765400014047904,0.7497303706051929,0.9765400007188734
agriculture1 (with vegetation),0.23959828106313383,0.38657407874255184,0.2657120127287192,0.7091295041493684,0.2657120116717899
agriculture2 (without vegetation),0.37460408958450325,0.5450356110755807,0.6637755102040817,0.4623312003156873,0.6637755085107767
open area,0.004153696737760158,0.00827302990410517,0.0041928721174004195,0.30769207100609924,0.004192872073449978
clove plantation,0.853545454678595,0.9209868071406215,0.9811892569756505,0.8677449160187201,0.9811892559502673
mixed forest1,0.8936892400248729,0.9438605038162955,0.9369846367502821,0.9508380308849861,0.9369846366340986
mixed forest2,0.8897405005520033,0.9416536295140371,0.9494843574756768,0.9339510102935654,0.9494843573890995
rice field1,0.004893980344307009,0.009740292049670585,0.004942339373970346,0.3333329629633745,0.0049423392925479525
rice field2,0.5606490881122738,0.7184819356401327,0.7724986025712689,0.6715257515269054,0.7724986004122454
rice field3,0.5540875318866897,0.7130712025596824,0.768834144944142,0.6648501345928904,0.76883414274181
mixed garden,0.7022593633480056,0.8250909112271075,0.8080484330484331,0.8428677531839979,0.8080484301707677
grass land2,0.23057433082285192,0.3747426329804898,0.24266666666666667,0.8222891318587612,0.24266666450962965
grass land3,0.12380954467120134,0.22033902075552925,0.12380952380952381,0.9999998076923446,0.12380952086167808
mixed garden2,0.39843228919540985,0.5698270738582862,0.5031592249368155,0.6568600476852899,0.5031592238770868
agroforestry,5.0251253756218405e-08,1.0050250751243681e-07,0.0,0.0,0.0
clouds,0.8771714842221684,0.9345672377439199,0.9033144044835393,0.9680601404208026,0.9033144041482707
